	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YNL141W	gene-YNL141W	2902.03942257208	6.47417133042582	0.482536626148146	13.4169532002285	4.81088861242254e-41	1.4830197159452e-38
gene-YML043C	gene-YML043C	522.398945525935	6.41567944678948	0.48182172000857	13.3154633350181	1.88201258535986e-40	5.51147385622635e-38
gene-YMR300C	gene-YMR300C	1597.37691932834	5.81652818787919	0.439648462642487	13.2299522962487	5.89247582924518e-40	1.64343956818519e-37
gene-YEL026W	gene-YEL026W	2039.18401771376	5.36924227686546	0.409781255738693	13.1027034586699	3.17734978462055e-39	8.45897167660116e-37
gene-YOR359W	gene-YOR359W	478.136489492579	6.35832178211494	0.486299315592202	13.0749141079336	4.58081070807177e-39	1.16651340509462e-36
gene-YHR066W	gene-YHR066W	1306.21356503264	5.58439910147769	0.428208359048811	13.0413126775069	7.12201842662207e-39	1.73806924686356e-36
gene-YGR079W	gene-YGR079W	1514.88526701155	5.32999313574474	0.409053784439683	13.0300545759421	8.25485887648734e-39	1.93394833758345e-36
gene-YIR012W	gene-YIR012W	1539.94907253575	5.33336779568285	0.414694557576576	12.8609544018383	7.46492329064404e-38	1.6816175274347e-35
gene-YJL148W	gene-YJL148W	1278.40078716393	5.22809307053634	0.407570441311724	12.8274588650498	1.15076943659699e-37	2.49631725561058e-35
gene-YOL041C	gene-YOL041C	1902.13958128702	5.69086135153769	0.444000808268948	12.8172319634394	1.31304888155492e-37	2.74661689259542e-35
gene-YLR327C	gene-YLR327C	14466.701545975	-5.02337786237008	0.392444289651964	-12.8002317649341	1.63462649633647e-37	3.3013818582906e-35
gene-YOL151W	gene-YOL151W	10488.4082808701	5.98276185669758	0.469533196024208	12.7419358361813	3.457088926728e-37	6.74938994794863e-35
gene-YBL028C	gene-YBL028C	858.387488719869	5.39305004243444	0.424142028182815	12.7151984101654	4.86872173904997e-37	9.19874297600505e-35
gene-YOL080C	gene-YOL080C	383.167129685797	6.25363231763602	0.492042309595336	12.7095418334637	5.23401958092016e-37	9.57989146420294e-35
gene-YDL063C	gene-YDL063C	1079.37944096672	5.55327621471594	0.437233310871132	12.7009449569424	5.84200148940009e-37	1.03686674919443e-34
gene-YML018C	gene-YML018C	802.662061470725	5.83951528608524	0.46090060122638	12.669793162663	8.6943342637205e-37	1.49772693478268e-34
gene-YHR196W	gene-YHR196W	1196.40236987469	5.15981055708026	0.408007486533827	12.646362450147	1.17175532408277e-36	1.96084883804366e-34
gene-YNR060W	gene-YNR060W	1991.32139935709	6.43413344517718	0.510738129453096	12.5977150992563	2.17350024185196e-36	3.53616414347971e-34
gene-YPL212C	gene-YPL212C	1385.88718774676	5.22877479312285	0.418789207925998	12.4854573474271	8.96268366867782e-36	1.41876860128232e-33
gene-YBL039C	gene-YBL039C	2045.22493294415	6.18574128580861	0.496755726818865	12.4522797661961	1.35906798870521e-35	2.09475294995958e-33
gene-YLR264C-A	gene-YLR264C-A	400.393435797997	6.38465019901606	0.51362900582267	12.4304704886943	1.7858019353381e-35	2.68190818853211e-33
gene-YJR063W	gene-YJR063W	780.083673510792	5.28451280019411	0.425424637918341	12.4217366113348	1.99190145019328e-35	2.91664169844552e-33
gene-YDR037W	gene-YDR037W	4855.84456229645	5.21477996411483	0.423949431062833	12.3004763823871	9.00415185910782e-35	1.28627603509255e-32
gene-YNL182C	gene-YNL182C	617.931421600285	5.51384577528587	0.453198415185747	12.1665160126961	4.68662678385965e-34	6.53561263644428e-32
gene-YDR449C	gene-YDR449C	840.026324279492	5.18079829821276	0.427131464763244	12.1292827281747	7.38938184038227e-34	1.00650254509579e-31
gene-YMR093W	gene-YMR093W	864.635065335975	5.1892981723784	0.429390113409941	12.0852763263884	1.26344678195384e-33	1.68181995497809e-31
gene-YLR224W	gene-YLR224W	721.810361705109	5.09872908615757	0.422180573171684	12.0771286273377	1.39506777849447e-33	1.81575821747603e-31
gene-YJL069C	gene-YJL069C	728.184855116329	5.18425703647166	0.430474348563796	12.0431265039788	2.10811636674719e-33	2.68418207826919e-31
gene-YKR097W	gene-YKR097W	21618.0447319077	-4.70615368967457	0.392775530358693	-11.9817894087668	4.42664431340039e-33	5.51635228586938e-31
gene-YBR105C	gene-YBR105C	2415.99805085994	4.92119340121421	0.415012750751985	11.8579330208463	1.95747845732433e-32	2.38853152594762e-30
gene-YNL248C	gene-YNL248C	1315.68802607934	5.28929525370021	0.448780704844387	11.7859239414811	4.61333161424001e-32	5.51434352338852e-30
gene-YER049W	gene-YER049W	1370.70064400974	5.21685287906231	0.443419014508006	11.7650635366881	5.90818506828208e-32	6.92084798898562e-30
gene-YKL078W	gene-YKL078W	495.209733685122	6.07852153012558	0.517274559000062	11.7510544919818	6.97430486618346e-32	8.00951051004638e-30
gene-YGR128C	gene-YGR128C	841.351711835042	4.91143904221896	0.422215516479342	11.6325403745773	2.81590602328657e-31	3.17168491892105e-29
gene-YJL025W	gene-YJL025W	239.47435804411	6.30686393104952	0.544290684986871	11.5873082252026	4.77916629600859e-31	5.2814296218344e-29
gene-YPL068C	gene-YPL068C	278.662185227842	6.29287568667885	0.544108167353865	11.5654865415505	6.16408974544881e-31	6.68575437760994e-29
gene-YNL075W	gene-YNL075W	802.966535077378	4.95734485579239	0.428828041023409	11.5602161742072	6.55435802918437e-31	6.97979545035143e-29
gene-YKR092C	gene-YKR092C	2181.2564075917	5.4660549278305	0.475211293415351	11.5023674806755	1.28345949833467e-30	1.31881092662214e-28
gene-YLR413W	gene-YLR413W	656.028780732799	5.39607906459171	0.469119079249309	11.502578563265	1.28032392177578e-30	1.31881092662214e-28
gene-YIL053W	gene-YIL053W	34481.9492051704	5.21956550212643	0.456289361177596	11.4391566979684	2.6646291238236e-30	2.69081599624739e-28
gene-YKL029C	gene-YKL029C	5051.60266497697	5.5490035869107	0.485980116817594	11.4181699927313	3.39303260400819e-30	3.36830372231796e-28
gene-YGL035C	gene-YGL035C	650.155171143451	5.33247502824573	0.467263000178735	11.4121491027665	3.63632355924399e-30	3.54965784774867e-28
gene-YOR226C	gene-YOR226C	580.72165421783	6.33705706990642	0.556753514410189	11.3821590809709	5.13133768834158e-30	4.92692538370765e-28
gene-YHR085W	gene-YHR085W	378.100157427292	5.59867363002886	0.493153227118008	11.3528074484021	7.18190124836521e-30	6.78457993736695e-28
gene-YGL120C	gene-YGL120C	1323.75793061829	5.14013878712703	0.452824487126835	11.3512827447587	7.30825808544335e-30	6.79435993753043e-28
gene-YOR004W	gene-YOR004W	600.201601286981	4.87366709000587	0.430787873927423	11.3133804012946	1.12663604094082e-29	1.03104801434225e-27
gene-YLR435W	gene-YLR435W	394.491694489936	5.34721446632177	0.47602525089883	11.2330479448835	2.80627852875718e-29	2.52867282198936e-27
gene-YPL081W	gene-YPL081W	1679.54662996753	4.75898545335533	0.423860421567791	11.2277183978457	2.98076332049357e-29	2.64520163153498e-27
gene-YER073W	gene-YER073W	875.869552935891	6.17858251365853	0.551757937608716	11.1979947953918	4.17066783844274e-29	3.64591067608345e-27
gene-YNL110C	gene-YNL110C	1231.8024384397	4.65027746889407	0.415484756714915	11.1924141469403	4.4417280781993e-29	3.82576490500196e-27
gene-YGR208W	gene-YGR208W	416.371111065559	6.12454632386824	0.547487486623466	11.1866416557579	4.74050140824374e-29	4.02392996349038e-27
gene-YMR081C	gene-YMR081C	2809.38940289825	-4.79163661696431	0.428518763818257	-11.18185951595	5.00305418120197e-29	4.18612690561428e-27
gene-YNL299W	gene-YNL299W	235.020433046714	5.85178696164532	0.524627623059383	11.154172415704	6.83256010062046e-29	5.63638091680761e-27
gene-YPR137W	gene-YPR137W	907.714663419654	4.62218687248715	0.416022186623266	11.1104335804879	1.11616234424014e-28	9.07967062529794e-27
gene-YNR053C	gene-YNR053C	1315.55990839038	4.54074108406079	0.409358888121846	11.0923231809962	1.36690987357518e-28	1.09671111363422e-26
gene-YFL034C-A	gene-YFL034C-A	1135.25058826607	5.3854017946206	0.485690736613766	11.0881295207885	1.43251765429771e-28	1.13381836502996e-26
gene-YIL079C	gene-YIL079C	351.109070008059	5.18648512882501	0.468167015405878	11.078279669764	1.59915635604214e-28	1.24883450364518e-26
gene-YNL113W	gene-YNL113W	1030.984848842	4.60331120763768	0.41630471308759	11.0575524679903	2.0152161775399e-28	1.55304225682252e-26
gene-YKR081C	gene-YKR081C	1338.8766610927	4.54201385056195	0.410960381398559	11.0521939733091	2.1392195040908e-28	1.62719592668309e-26
gene-YHR052W	gene-YHR052W	1668.49887529732	4.50852030322168	0.40837883833031	11.0400439005486	2.44913475753519e-28	1.83904900960046e-26
gene-YDR342C	gene-YDR342C	2153.2012354727	-4.50525056826301	0.409656437045267	-10.9976315782026	3.92300302398543e-28	2.90848464702312e-26
gene-YHR022C	gene-YHR022C	392.674015991832	6.19174483065439	0.565038472371155	10.9580942420983	6.07654949075668e-28	4.44879379592024e-26
gene-YHR208W	gene-YHR208W	5099.43894231265	4.82423174088393	0.440335544835446	10.9558081273833	6.23196174486578e-28	4.5062469061332e-26
gene-YPL030W	gene-YPL030W	463.29196591714	5.0470016083668	0.462800562326994	10.9053489109653	1.08675546518239e-27	7.76234970679663e-26
gene-YOR108W	gene-YOR108W	894.90009758444	5.26089269142557	0.484077353993494	10.867876069857	1.63973599308661e-27	1.15570771355819e-25
gene-YLR022C	gene-YLR022C	659.148078388225	4.57512634794261	0.421015126063681	10.8668930513689	1.65749441589359e-27	1.15570771355819e-25
gene-YPL093W	gene-YPL093W	3492.72451391508	4.5941877116455	0.42372397952631	10.8424066931058	2.16694209203037e-27	1.49315056859081e-25
gene-YLL011W	gene-YLL011W	916.578689095343	4.54094206558422	0.420499435759772	10.7989254667595	3.48255181957837e-27	2.37177976828727e-25
gene-YLR186W	gene-YLR186W	1342.45315003894	5.31555009458854	0.492639353200941	10.7899420946592	3.84031439438277e-27	2.5853702767701e-25
gene-YAL012W	gene-YAL012W	1374.35413430919	4.7476653243532	0.442997429802553	10.7171396603119	8.45785822065895e-27	5.62928131799994e-25
gene-YLL034C	gene-YLL034C	583.90939859764	4.57193517399518	0.42673482699274	10.7137615324586	8.77234473732434e-27	5.77299136252906e-25
gene-YOR233W	gene-YOR233W	298.385929321593	5.19544699499897	0.486047060016772	10.6891851065197	1.14371426067408e-26	7.4430382497423e-25
gene-YNL124W	gene-YNL124W	793.030717948108	5.08616221768369	0.477008659158357	10.6626203110397	1.52246494318113e-26	9.79898590352954e-25
gene-YKL023C-A	gene-YKL023C-A	403.863689262346	4.66352610031935	0.437572706166108	10.6577170710209	1.60488525028797e-26	1.01073257106846e-24
gene-YGR264C	gene-YGR264C	1302.56329909107	4.40853625176421	0.413624862440895	10.6582960843998	1.59492660708204e-26	1.01073257106846e-24
gene-YOR375C	gene-YOR375C	6566.94680939761	4.65887438222036	0.437694897979365	10.6441139792313	1.8574289234158e-26	1.15733629834536e-24
gene-YDR101C	gene-YDR101C	1447.87904889989	4.59514152860967	0.431994720142537	10.6370316912519	2.00412419854752e-26	1.23559530851503e-24
gene-YCR021C	gene-YCR021C	60732.2932574776	-4.44895769053679	0.418414151487225	-10.6329044434163	2.09484970488156e-26	1.27807653348868e-24
gene-YNL117W	gene-YNL117W	7957.80049054256	-4.78988562038765	0.451444931684225	-10.6101215989242	2.67400840026843e-26	1.61460486601775e-24
gene-YOR145C	gene-YOR145C	2259.86659177236	4.18988150516942	0.395933681457491	10.5822810773406	3.6008320927518e-26	2.1520483231885e-24
gene-YAL025C	gene-YAL025C	1354.7605267328	4.50169379460574	0.42552598924627	10.5791277345469	3.72408979022551e-26	2.20323170720716e-24
gene-YCL054W	gene-YCL054W	964.432607780639	4.40264694071353	0.416223495801367	10.5776031029603	3.78517545004637e-26	2.21697726109216e-24
gene-YKR024C	gene-YKR024C	642.40694252624	4.83759568762959	0.458508180539139	10.5507292845708	5.0404326395062e-26	2.92295187817701e-24
gene-YNR001C	gene-YNR001C	5098.99209093428	-4.34519028234716	0.412044909499323	-10.545428865089	5.33289910583414e-26	3.06223431988927e-24
gene-YPR060C	gene-YPR060C	422.799923454727	5.11300667367234	0.485749696446156	10.5260110527709	6.55538525206548e-26	3.72765936129587e-24
gene-YCL036W	gene-YCL036W	482.703553208414	4.82311030963443	0.460396974354514	10.4759817685521	1.11375884845174e-25	6.27238997632867e-24
gene-YER056C	gene-YER056C	4205.01310642124	4.25019063420161	0.405890601015208	10.4712713809364	1.1706010961398e-25	6.52972440008647e-24
gene-YGR187C	gene-YGR187C	803.700883755143	4.5504546099079	0.43555132032241	10.4475739082584	1.50321368132212e-25	8.30596465236192e-24
gene-YJR124C	gene-YJR124C	303.103582634365	5.29318786636868	0.507666634178618	10.4265033587106	1.87667719653791e-25	1.02726152711425e-23
gene-YDL167C	gene-YDL167C	521.497244153689	4.49173874748187	0.431154005063955	10.4179450839511	2.05341798012702e-25	1.11359899163e-23
gene-YML080W	gene-YML080W	288.853453778967	5.03242211385096	0.484397325918052	10.3890377683512	2.78144956469889e-25	1.49458257802215e-23
gene-YBL081W	gene-YBL081W	357.327314741391	4.72836856483607	0.455421903806501	10.3823916357898	2.98209369057012e-25	1.58782934051538e-23
gene-YOR078W	gene-YOR078W	905.358295193004	4.23932066310879	0.408373643308102	10.3809849939566	3.02636442458237e-25	1.5968843634936e-23
gene-YHR169W	gene-YHR169W	483.461943107294	4.45696784619068	0.429433910974236	10.3787049236037	3.09951168743939e-25	1.62087856726183e-23
gene-YLR363W-A	gene-YLR363W-A	426.046798173758	4.6618246818462	0.449660410774773	10.3674341128092	3.48763798332602e-25	1.80770758126907e-23
gene-YDR321W	gene-YDR321W	470.516024255024	4.75766347468019	0.4594638376963	10.3548159492477	3.97951208629014e-25	2.04456160433345e-23
gene-YBR195C	gene-YBR195C	207.33488381149	5.21828918670239	0.50413437994591	10.3509885345694	4.14186913660321e-25	2.10947195939869e-23
gene-YKL068W-A	gene-YKL068W-A	235.250177839857	5.1087109203593	0.495726150115868	10.3055102482797	6.6537633645386e-25	3.35957689880194e-23
gene-YBR169C	gene-YBR169C	4152.9143134302	-4.14000614949313	0.401899753676015	-10.3010915324684	6.96662655879607e-25	3.48748134656997e-23
gene-YPL211W	gene-YPL211W	929.809504861835	4.82241454072956	0.468782431752601	10.2871059452897	8.05613748725202e-25	3.99871163244365e-23
gene-YPR010C	gene-YPR010C	2470.68042587822	4.49369423790381	0.439035970753212	10.2353668884907	1.37672363341299e-24	6.77602547974781e-23
gene-YLL012W	gene-YLL012W	332.393173136735	4.61417645761118	0.45108612021551	10.2290366535923	1.46974087002673e-24	7.17356022978882e-23
gene-YBR034C	gene-YBR034C	963.876283543196	4.48824813091684	0.44042827128556	10.1906449325248	2.18311078661495e-24	1.05673387414907e-22
gene-YCL040W	gene-YCL040W	5515.02667367048	-4.02667601674133	0.395347473842964	-10.1851568130691	2.30987178853915e-24	1.10892779225195e-22
gene-YDR528W	gene-YDR528W	160.059415153721	5.93595202044406	0.584855352274431	10.1494360910948	3.33283598460445e-24	1.56163362894626e-22
gene-YJR097W	gene-YJR097W	267.230670560507	4.82661245665815	0.475499428085315	10.1506167443637	3.29275882574641e-24	1.56163362894626e-22
gene-YJR073C	gene-YJR073C	5522.39106768183	-4.00711341374778	0.394792290949597	-10.1499282169605	3.31607242894411e-24	1.56163362894626e-22
gene-YPL231W	gene-YPL231W	4928.89029040344	-4.09868883924924	0.404171024456148	-10.1409764462072	3.63448280705364e-24	1.68945760324708e-22
gene-YDL060W	gene-YDL060W	1256.58089026387	4.12285360863361	0.406593979479141	10.139977020602	3.67185946412365e-24	1.69339219538364e-22
gene-YDR343C	gene-YDR343C	1003.0675664007	-4.28893533149317	0.423394451027228	-10.1298808264668	4.07145354922398e-24	1.8630080810785e-22
gene-YNL175C	gene-YNL175C	920.767448562957	4.5844177147713	0.45382605105831	10.1017068193431	5.42889557929058e-24	2.46488693084534e-22
gene-YEL011W	gene-YEL011W	3245.25765095832	-4.42436577382546	0.438423732203996	-10.0915289224508	6.02240833670112e-24	2.71332658677373e-22
gene-YBR187W	gene-YBR187W	833.741712491109	5.0406711780491	0.499567527424625	10.0900697129672	6.11260922081738e-24	2.7168429184854e-22
gene-YDL014W	gene-YDL014W	4117.21282598422	4.68452155916549	0.464278145844798	10.0899032209271	6.12298557691775e-24	2.7168429184854e-22
gene-YGL029W	gene-YGL029W	807.347459736326	5.14163847313485	0.509740840916565	10.0867697080926	6.32156328178651e-24	2.78386437153561e-22
gene-YLR002C	gene-YLR002C	494.873151731061	4.45324820157313	0.442209474659662	10.0704495420422	7.4636157728914e-24	3.26226847625559e-22
gene-YPL126W	gene-YPL126W	1225.16914423102	4.46315375852942	0.444091838344388	10.0500693171224	9.18028237003848e-24	3.9828825067641e-22
gene-YGL157W	gene-YGL157W	238.334775503174	5.40518335760557	0.538241121461616	10.0423084414798	9.93221092467347e-24	4.26627798448167e-22
gene-YOL077C	gene-YOL077C	1626.99130030643	4.53112368855361	0.451224299941363	10.04184324546	9.97917165569385e-24	4.26627798448167e-22
gene-YNR054C	gene-YNR054C	550.465576474914	4.25752570043932	0.424337342537708	10.0333514721509	1.08760928992968e-23	4.61603450081024e-22
gene-YDL039C	gene-YDL039C	374.302461970372	4.5799402830581	0.457326433262605	10.0145977794995	1.31495689863566e-23	5.54079320525831e-22
gene-YLR333C	gene-YLR333C	2604.21972114526	3.98715685958822	0.39829293190689	10.010614148986	1.3690002165325e-23	5.72731019159347e-22
gene-YPR110C	gene-YPR110C	1394.12665707249	4.06188854261363	0.406277910060585	9.99780800784349	1.55807600562235e-23	6.47209302477314e-22
gene-YDR496C	gene-YDR496C	1261.4228027951	4.41922541435305	0.442055770408504	9.99698615011686	1.57105726086772e-23	6.480058011903e-22
gene-YIL104C	gene-YIL104C	297.110906618703	4.63928612709569	0.464570127908337	9.98619120859844	1.7518409245316e-23	7.17519740907803e-22
gene-YMR186W	gene-YMR186W	8244.48916841158	-3.87494334423502	0.389321680776157	-9.95306332930107	2.44537614933929e-23	9.94622785186125e-22
gene-YDR222W	gene-YDR222W	941.026601129018	4.20834092647534	0.422906364327962	9.95099927891318	2.49663508263872e-23	1.0055550846282e-21
gene-YLR051C	gene-YLR051C	635.319345576463	4.16835662913777	0.418904917134072	9.95060324823944	2.50659112780803e-23	1.0055550846282e-21
gene-YOR047C	gene-YOR047C	205.121899475626	5.16351978782329	0.520995139764954	9.9108789962087	3.73346896885695e-23	1.48754610548266e-21
gene-YDR299W	gene-YDR299W	998.363322504154	3.99869961627431	0.403767901995311	9.903460865794	4.02113712224607e-23	1.59133784628346e-21
gene-YLR174W	gene-YLR174W	1448.08758626581	-4.43397468599022	0.447809652410793	-9.90147189128198	4.10192935091473e-23	1.61241612136292e-21
gene-YHR021W-A	gene-YHR021W-A	164.773022401178	6.13898187652726	0.62021357182478	9.89817404102472	4.23944437587687e-23	1.65536171396739e-21
gene-YBR267W	gene-YBR267W	569.001521034373	4.19952020761792	0.425957184433964	9.85901954723097	6.2658226550929e-23	2.43039227091915e-21
gene-YNR034W-A	gene-YNR034W-A	8239.78010214651	-3.86904281488499	0.39304066185619	-9.84387415951543	7.28502656155125e-23	2.80713161651353e-21
gene-YKL024C	gene-YKL024C	915.5761497666	4.26675397447468	0.433520699068674	9.84209977433806	7.41468921876283e-23	2.83842057217607e-21
gene-YFR015C	gene-YFR015C	887.268877108234	-4.20915852761707	0.427798635393421	-9.83911162724059	7.6382301775047e-23	2.90500741231461e-21
gene-YJR070C	gene-YJR070C	2609.70800510805	4.3351983607813	0.440678197504109	9.83756034524689	7.75689816634245e-23	2.91798775947447e-21
gene-YDR171W	gene-YDR171W	8891.67924354995	-4.09308278528279	0.416075132953477	-9.83736460342717	7.77200086184082e-23	2.91798775947447e-21
gene-YNL077W	gene-YNL077W	2129.91974179804	-3.96006276898551	0.402639650375004	-9.83525285027754	7.93679834946799e-23	2.96088076005312e-21
gene-YNL123W	gene-YNL123W	620.349608394601	4.33529073799803	0.44105321476378	9.82940514404807	8.41141376949051e-23	3.11807914227253e-21
gene-YNL015W	gene-YNL015W	3240.96300790667	-4.02551036202906	0.41047853614906	-9.80687175459828	1.05178652190245e-22	3.87441110615263e-21
gene-YGR008C	gene-YGR008C	3072.1997342978	-4.66068613626339	0.475391135946735	-9.80389785135919	1.08323043741972e-22	3.96530041997957e-21
gene-YGR090W	gene-YGR090W	655.864354932113	4.0800233078212	0.416480380498979	9.79643579592629	1.16628495330758e-22	4.24281426802638e-21
gene-YPL240C	gene-YPL240C	10675.8963768682	-4.10146397550868	0.419123201200957	-9.78581945298265	1.29541637714165e-22	4.68348995118437e-21
gene-YBR155W	gene-YBR155W	458.82321290199	4.17778955202769	0.429784588652892	9.72065928450917	2.4618231252676e-22	8.84594972067014e-21
gene-YCL064C	gene-YCL064C	1444.64705325401	-4.00896113223864	0.412477487431781	-9.71922408953695	2.49676745532491e-22	8.9168091377061e-21
gene-YIL118W	gene-YIL118W	640.451631627728	4.69146862266924	0.48305928742265	9.71199342362393	2.68042787661968e-22	9.51470671112815e-21
gene-YOL010W	gene-YOL010W	666.908823607715	4.16868280882094	0.429301934033867	9.71037509579931	2.72333056204789e-22	9.60876331440632e-21
gene-YNL194C	gene-YNL194C	2109.49767771789	-4.45221652170327	0.458678170043853	-9.70662397401123	2.82540564970643e-22	9.90922209001829e-21
gene-YGR081C	gene-YGR081C	442.119636219978	4.18238110089788	0.431166173935369	9.70016052679684	3.0102464764651e-22	1.04325524335243e-20
gene-YLR304C	gene-YLR304C	5988.76568260059	-3.98562982806608	0.410880698863076	-9.70021185977945	3.00873232860267e-22	1.04325524335243e-20
gene-YCR057C	gene-YCR057C	1014.04976360746	4.1923855144669	0.432909554025965	9.68420649412475	3.51930712954718e-22	1.21250481516222e-20
gene-YNR016C	gene-YNR016C	3125.89540979809	-3.85345100921162	0.398173887225284	-9.67780945170662	3.7465721579914e-22	1.28325573855881e-20
gene-YOL016C	gene-YOL016C	1512.10127847374	-4.04799629201745	0.418497514454651	-9.67268896995108	3.93890102332435e-22	1.34128740079132e-20
gene-YIL155C	gene-YIL155C	6249.97564566275	-4.54625613106675	0.470983021809482	-9.65269642544729	4.78798903536229e-22	1.62099721272352e-20
gene-YMR229C	gene-YMR229C	1931.56402535348	4.04466432333435	0.419285054534311	9.64657404215528	5.08253819973281e-22	1.71082909401351e-20
gene-YDR324C	gene-YDR324C	840.463320472773	4.12944309576064	0.428242390727287	9.64277050842067	5.2744843905709e-22	1.76529457574707e-20
gene-YIL169C	gene-YIL169C	2962.97399231537	-4.09852756355009	0.425068634725667	-9.64203714112008	5.31231045438824e-22	1.76785240519045e-20
gene-YBR021W	gene-YBR021W	790.112239067193	4.52097733549967	0.469382416912348	9.63175690567871	5.87168330517765e-22	1.94296322702969e-20
gene-YBR247C	gene-YBR247C	890.692865135034	3.91611025187918	0.408877538399123	9.57770942177922	9.92209745937448e-22	3.26481600109867e-20
gene-YGL009C	gene-YGL009C	5120.76485358311	4.96016397318608	0.519397524762375	9.54984137719055	1.29895019065395e-21	4.25025210427945e-20
gene-YPL012W	gene-YPL012W	1253.9313886947	4.269574225228	0.447295224563679	9.54531591387504	1.35693398115609e-21	4.41531240423957e-20
gene-YBR214W	gene-YBR214W	1586.13350346281	-4.23531334347628	0.444137147724411	-9.53604841472145	1.48378625677544e-21	4.8014011634993e-20
gene-YDL130W-A	gene-YDL130W-A	1482.6122449664	-4.26285581508627	0.447397507704667	-9.52811703613745	1.60161796981418e-21	5.15421782923168e-20
gene-YHR170W	gene-YHR170W	1725.6178188268	3.86885025405534	0.406284808559267	9.52250778899347	1.69049391003348e-21	5.41050427927108e-20
gene-YPL226W	gene-YPL226W	2311.03333243406	4.22480508054929	0.443867575226575	9.51816558889825	1.76262908850883e-21	5.61071661488925e-20
gene-YPL004C	gene-YPL004C	3290.31987799541	-3.97577990510977	0.417748099513153	-9.51717053828175	1.77958361655483e-21	5.6340655363036e-20
gene-YPL245W	gene-YPL245W	404.143661281559	4.99565041395204	0.525507509531714	9.50633496827424	1.97498333352227e-21	6.21907386260211e-20
gene-YLL008W	gene-YLL008W	1388.17114003475	4.1328790415665	0.434903914320444	9.50297043894006	2.03986819337613e-21	6.389041715831e-20
gene-YER126C	gene-YER126C	1730.90618112623	3.77048742310671	0.396867985136918	9.50060867672636	2.08667000871098e-21	6.50086502181925e-20
gene-YDR399W	gene-YDR399W	2788.02959405448	4.42865539193011	0.466667640094689	9.48995604458777	2.31131707883875e-21	7.16263710622145e-20
gene-YGL225W	gene-YGL225W	414.708464463617	4.55627183999406	0.48125354272106	9.46750815429305	2.86598845288269e-21	8.8347865097547e-20
gene-YNL055C	gene-YNL055C	7638.77587682302	-3.83659471598462	0.405429002437038	-9.46304949306243	2.99090750251843e-21	9.1715943676704e-20
gene-YOR306C	gene-YOR306C	593.803088977692	4.2967193654222	0.454837710040334	9.44670872835318	3.49652085420616e-21	1.06662097099403e-19
gene-YGR157W	gene-YGR157W	2078.52533269082	-3.87304838892282	0.410342597387622	-9.43857258198379	3.77892075037539e-21	1.14679475828749e-19
